House # ,Waste,Organic,Recycle
I-5306,Sat,"Sat,Tue",Tue
I-5307,Sat,"Sat,Tue",Tue
I-5308,Sat,"Sat,Tue",Tue
I-5309,Sat,"Sat,Tue",Tue
I-5310,Sat,"Sat,Tue",Tue
I-5311,Sat,"Sat,Tue",Tue
I-5312,Sat,"Sat,Tue",Tue
I-5313,Sat,"Sat,Tue",Tue
I-5314,Sat,"Sat,Tue",Tue
I-5315,Sat,"Sat,Tue",Tue
I-5316,Sat,"Sat,Tue",Tue
I-5317,Sat,"Sat,Tue",Tue
I-5318,Sat,"Sat,Tue",Tue
I-5319,Sat,"Sat,Tue",Tue
I-5320,Sat,"Sat,Tue",Tue
I-5321,Sat,"Sat,Tue",Tue
I-5322,Sat,"Sat,Tue",Tue
I-5323,Sat,"Sat,Tue",Tue
I-5324,Sat,"Sat,Tue",Tue
I-5325,Sat,"Sat,Tue",Tue
I-5326,Sat,"Sat,Tue",Tue
I-5327,Sat,"Sat,Tue",Tue
I-5328,Sat,"Sat,Tue",Tue
I-5329,Sat,"Sat,Tue",Tue
I-5330,Sat,"Sat,Tue",Tue
I-5331,Sat,"Sat,Tue",Tue
I-5333,Sat,"Sat,Tue",Tue
I-5335,Sat,"Sat,Tue",Tue
I-5337,Sat,"Sat,Tue",Tue
I-5339,Sat,"Sat,Tue",Tue
I-5341,Sat,"Sat,Tue",Tue
I-5343,Sat,"Sat,Tue",Tue
I-5345,Sat,"Sat,Tue",Tue
I-5347,Sat,"Sat,Tue",Tue
I-5349,Sat,"Sat,Tue",Tue
I-5351,Sat,"Sat,Tue",Tue
I-5353,Sat,"Sat,Tue",Tue
I-5355,Sat,"Sat,Tue",Tue
I-5357,Sat,"Sat,Tue",Tue
I-5358,Sat,"Sat,Tue",Tue
I-5359,Sat,"Sat,Tue",Tue
I-5360,Sat,"Sat,Tue",Tue
I-5361,Sat,"Sat,Tue",Tue
I-5362,Sat,"Sat,Tue",Tue
I-5363,Sat,"Sat,Tue",Tue
I-5364,Sat,"Sat,Tue",Tue
I-5365,Sat,"Sat,Tue",Tue
I-5366,Sat,"Sat,Tue",Tue
I-5367,Sat,"Sat,Tue",Tue
I-5368,Sat,"Sat,Tue",Tue
I-5369,Sat,"Sat,Tue",Tue
I-5370,Sat,"Sat,Tue",Tue
I-5371,Sat,"Sat,Tue",Tue
I-5372,Sat,"Sat,Tue",Tue
I-5373,Sat,"Sat,Tue",Tue
I-5374,Sat,"Sat,Tue",Tue
I-5375,Sat,"Sat,Tue",Tue
I-5377,Sat,"Sat,Tue",Tue
I-5379,Sat,"Sat,Tue",Tue
I-5381,Sat,"Sat,Tue",Tue
I-5383,Sat,"Sat,Tue",Tue
I-5385,Sat,"Sat,Tue",Tue
I-5387,Sat,"Sat,Tue",Tue
I-5389,Sat,"Sat,Tue",Tue
I-5391,Sat,"Sat,Tue",Tue
I-5393,Sat,"Sat,Tue",Tue
I-5395,Sat,"Sat,Tue",Tue
I-5397,Sat,"Sat,Tue",Tue
I-5399 AB,Sat,"Sat,Tue",Tue
I-5399 CD,Sat,"Sat,Tue",Tue
I-5401 A,Sat,"Sat,Tue",Tue
I-5401 B,Sat,"Sat,Tue",Tue
I-5403 A,Sat,"Sat,Tue",Tue
I-5403 B,Sat,"Sat,Tue",Tue
I-5405 A,Sat,"Sat,Tue",Tue
I-5405 B,Sat,"Sat,Tue",Tue
I-5407,Sat,"Sat,Tue",Tue
I-5409,Sat,"Sat,Tue",Tue
I-5411,Sat,"Sat,Tue",Tue
I-5413,Sat,"Sat,Tue",Tue
I-5415,Sat,"Sat,Tue",Tue
I-5417,Sat,"Sat,Tue",Tue
I-5419,Sat,"Sat,Tue",Tue
I-5500,Sat,"Sat,Tue",Sat
I-5501,Sat,"Sat,Tue",Sat
I-5502,Sat,"Sat,Tue",Sat
I-5503,Sat,"Sat,Tue",Sat
I-5504,Sat,"Sat,Tue",Sat
I-5505,Sat,"Sat,Tue",Sat
I-5506,Sat,"Sat,Tue",Sat
I-5507,Sat,"Sat,Tue",Sat
I-5508,Sat,"Sat,Tue",Sat
I-5509,Sat,"Sat,Tue",Sat
I-5510,Sat,"Sat,Tue",Sat
I-5511,Sat,"Sat,Tue",Sat
I-5512,Sat,"Sat,Tue",Sat
I-5513,Sat,"Sat,Tue",Sat
I-5514,Sat,"Sat,Tue",Sat
I-5515,Sat,"Sat,Tue",Sat
I-5516,Sat,"Sat,Tue",Sat
I-5517,Sat,"Sat,Tue",Sat
I-5518,Sat,"Sat,Tue",Sat
I-5519,Sat,"Sat,Tue",Sat
I-5520,Sat,"Sat,Tue",Sat
I-5521,Sat,"Sat,Tue",Sat
I-5522,Sat,"Sat,Tue",Sat
I-5523,Sat,"Sat,Tue",Sat
I-5524,Sat,"Sat,Tue",Sat
I-5525,Sat,"Sat,Tue",Sat
I-5526,Sat,"Sat,Tue",Sat
I-5527,Sat,"Sat,Tue",Sat
I-5528,Sat,"Sat,Tue",Sat
I-5529,Sat,"Sat,Tue",Sat
I-5530,Sat,"Sat,Tue",Sat
I-5531,Sat,"Sat,Tue",Sat
I-5532,Sat,"Sat,Tue",Sat
I-5533,Sat,"Sat,Tue",Sat
I-5534,Sat,"Sat,Tue",Sat
I-5535,Sat,"Sat,Tue",Sat
I-5536,Sat,"Sat,Tue",Sat
I-5537,Sat,"Sat,Tue",Sat
I-5538,Sat,"Sat,Tue",Sat
I-5539,Tue,"Sat,Tue",Sat
I-5540,Tue,"Sat,Tue",Sat
I-5541,Tue,"Sat,Tue",Sat
I-5542,Tue,"Sat,Tue",Sat
I-5543,Tue,"Sat,Tue",Sat
I-5544,Tue,"Sat,Tue",Sat
I-5545,Tue,"Sat,Tue",Sat
I-5546,Tue,"Sat,Tue",Sat
I-5547,Tue,"Sat,Tue",Sat
I-5548,Tue,"Sat,Tue",Sat
I-5549,Tue,"Sat,Tue",Sat
I-5550,Tue,"Sat,Tue",Sat
I-5551,Tue,"Sat,Tue",Sat
I-5552,Tue,"Sat,Tue",Sat
I-5553,Tue,"Sat,Tue",Sat
I-5554,Tue,"Sat,Tue",Sat
I-5555,Tue,"Sat,Tue",Sat
I-5556,Tue,"Sat,Tue",Sat
I-5557,Tue,"Sat,Tue",Sat
I-5558,Tue,"Sat,Tue",Sat
I-5559,Tue,"Sat,Tue",Sat
I-5560,Tue,"Sat,Tue",Sat
I-5561,Tue,"Sat,Tue",Sat
I-5562,Tue,"Sat,Tue",Sat
I-5563,Tue,"Sat,Tue",Sat
I-5564,Tue,"Sat,Tue",Sat
I-5565,Tue,"Sat,Tue",Sat
I-5566,Tue,"Sat,Tue",Sat
I-5567,Tue,"Sat,Tue",Sat
I-5568,Tue,"Sat,Tue",Sat
I-5569,Tue,"Sat,Tue",Sat
I-5570,Tue,"Sat,Tue",Sat
I-5571,Tue,"Sat,Tue",Sat
I-5600,Tue,"Sat,Tue",Sat
I-5601,Tue,"Sat,Tue",Sat
I-5602,Tue,"Sat,Tue",Sat
I-5603,Tue,"Sat,Tue",Sat
I-5604,Tue,"Sat,Tue",Sat
I-5605,Tue,"Sat,Tue",Sat
I-5606,Tue,"Sat,Tue",Sat
I-5607,Tue,"Sat,Tue",Sat
I-5608,Tue,"Sat,Tue",Sat
I-5609,Tue,"Sat,Tue",Sat
I-5610,Tue,"Sat,Tue",Sat
I-5611,Tue,"Sat,Tue",Sat
I-5612,Tue,"Sat,Tue",Sat
I-5613,Tue,"Sat,Tue",Sat
I-5614,Tue,"Sat,Tue",Sat
I-5615,Tue,"Sat,Tue",Sat
I-5616,Tue,"Sat,Tue",Sat
I-5617,Tue,"Sat,Tue",Sat
I-5618,Tue,"Sat,Tue",Sat
I-5619,Tue,"Sat,Tue",Sat
I-5620,Tue,"Sat,Tue",Sat
I-5621,Tue,"Sat,Tue",Sat
I-5622,Tue,"Sat,Tue",Sat
I-5623,Tue,"Sat,Tue",Sat
